cell	clone
7470334	36
7668313	1/4/7/10/13/18/19/22/24/34
7777081	0
7811149	40
7840837	11/16
7895550	2
7900635	0
7956860	1/4/7/10/13/18/19/22/24/34
7961988	5/6
7965794	5/6
7975826	5/6
8011012	9/23/26/30/31
8055655	1/4/7/10/13/18/19/22/24/34
8067338	1/4/7/10/13/18/19/22/24/34
8113017	14
8127422	3/8/15/20/32
8147490	9/23/26/30/31
8149041	46
8152696	0
8153404	0
8163416	0
8164428	0
8165126	0
8171007	2
8173647	0
8175196	0
8176119	0
8176669	2
8188368	1/4/7/10/13/18/19/22/24/34
8202920	1/4/7/10/13/18/19/22/24/34
8205452	1/4/7/10/13/18/19/22/24/34
8207040	1/4/7/10/13/18/19/22/24/34
8210326	39
8210740	39
8211708	1/4/7/10/13/18/19/22/24/34
8213130	1/4/7/10/13/18/19/22/24/34
8219800	1/4/7/10/13/18/19/22/24/34
8223124	1/4/7/10/13/18/19/22/24/34
8224122	1/4/7/10/13/18/19/22/24/34
8225429	1/4/7/10/13/18/19/22/24/34
8231125	5/6
8237183	5/6
8237898	5/6
8238267	5/6
8256393	3/8/15/20/32
8269621	36
8271461	38
8271673	3/8/15/20/32
8276846	35
8283390	9/23/26/30/31
