cell	clone
7878574	30
8070974	31
8084787	40/52/59
8242723	30
8362333	0
8404614	9/11/14/17/19/22/25/27
8412141	30
8503392	2/5/7/24/29/32
8523168	2/5/7/24/29/32
8585278	9/11/14/17/19/22/25/27
8585680	33
8600336	9/11/14/17/19/22/25/27
8623276	40/52/59
8650735	40/52/59
8711321	1
8720664	0
8726732	0
8726742	1
8728636	9/11/14/17/19/22/25/27/30
8740477	9/11/14/17/19/22/25/27/31
8763839	30
8781009	40/52/59
8782370	63
8832267	63
8838358	63
8860354	2/5/7/24/29/32
8861663	38
8872067	37
8874505	2/5/7/24/29/32
8884891	0
8893704	0
8902257	1
8920046	9/11/14/17/19/22/25/27/30
8927786	9/11/14/17/19/22/25/27/30
8931786	9/11/14/17/19/22/25/27/30
8959505	40/52/59
8963437	40/52/59
8970073	63
8989131	62
9012876	40/52/59
9014642	63
9019544	62
9021344	40/52/59
9032848	2/5/7/24/29/32/41
9041156	37
9042819	2/5/7/24/29/32
9043848	2/5/7/24/29/32
9045905	38
9055842	2/5/7/24/29/32
9060792	2/8/10/12/26/28/35/53/56/73/79/81
