Sample	posterior	likelihood	prior	treeLikelihood	treeHeight	editRate.1	editRate.2	editRate.3	editRate.4	editRate.5	editRate.6	editRate.7	editRate.8	editRate.9	editRate.10	editRate.11	editRate.12	editRate.13	silencingRate	clockRate.c	birthRate	rho	deathRate
0	-1939.1246304673869	-1237.471936432842	-701.6526940345449	-1237.471936432842	60.00000170000002	0.0769	0.0769	0.0769	0.0769	0.0769	0.0769	0.0769	0.0769	0.0769	0.0769	0.0769	0.0769	0.0772	0.0	1.0	0.6	1.0	0.01
10000	-278.05937437174293	-126.3838738443901	-151.67550052735285	-126.3838738443901	45.246778977209246	0.19598069028886614	0.06859927242526312	0.007265663118781546	0.11978178734238445	0.020953102516720695	0.03401821265761554	0.07342911344567196	0.09096623504950999	0.05353333434858357	0.0769	0.2223464773122045	0.02662924538549652	0.009596866108901939	0.0	0.0250002463914362	0.7645120055040814	1.0	0.7460963430205141
20000	-319.2009058313184	-129.25040286308172	-189.95050296823666	-129.25040286308172	43.872873672935185	0.278782964982385	0.06859927242526312	0.030333405651660456	0.12524118968805978	0.004058499852079095	0.03401821265761554	0.04339188933837149	0.22593618388378056	0.03855913852855422	0.04565220107854864	0.030523839395975833	0.028803236747152378	0.04609996577055382	0.0	0.02765765533705695	0.3816353527649111	1.0	0.323932788043507
30000	-300.81102950889914	-126.45545714148619	-174.35557236741295	-126.45545714148619	34.47144104403061	0.28464599583917816	0.04989277722665045	0.07149092496267648	0.16471870623053253	0.017943187031858404	0.03291236496427837	0.043372412356659146	0.11891560380135993	0.03855913852855422	0.04565220107854864	0.04662716613533455	0.05994555992706299	0.025323961917306043	0.0	0.02635292302346158	0.39642160850893043	1.0	0.29548230849744045
40000	-308.97604989151347	-135.5393419706299	-173.43670792088358	-135.5393419706299	24.800576648692548	0.28256008556150497	0.04989277722665045	0.07149092496267648	0.14652529964605615	0.017943187031858404	0.019975261710217858	0.04986160798781972	0.12100151407903309	0.03855913852855422	0.05858930433260916	0.04662716613533455	0.008662693270016036	0.0883110395276688	0.0	0.027979116623100875	0.301639100468453	1.0	0.261059709827175
50000	-308.6027321343224	-132.8466025507604	-175.75612958356203	-132.8466025507604	23.96228770687443	0.3679170677364629	0.016032307184368308	0.09108870217811924	0.14652529964605615	0.017943187031858404	0.002572168412925978	0.04986160798781972	0.07885415575940216	0.06102622755185294	0.04404687081274654	0.06403025943262643	0.008662693270016036	0.05143945299574514	0.0	0.03663708852857229	0.5845956726877578	1.0	0.5258575486029013
60000	-311.61031957786247	-122.97483304625811	-188.63548653160433	-122.97483304625811	28.19311242916883	0.3679170677364629	0.016032307184368308	0.03086165424148849	0.14652529964605615	0.017943187031858404	0.002572168412925978	0.04986160798781972	0.1369915177325669	0.06102622755185294	0.04404687081274654	0.06611994539609242	0.008662693270016036	0.05143945299574514	0.0	0.018853492586746463	0.258115628529361	1.0	0.14375441496010843
70000	-319.5915152121972	-126.78873728103052	-192.80277793116667	-126.78873728103052	49.58945283696768	0.07474908508628597	0.016032307184368308	0.03086165424148849	0.14652529964605615	0.017943187031858404	0.29574015106310286	0.04986160798781972	0.1369915177325669	0.06102622755185294	0.04404687081274654	0.06611994539609242	0.008662693270016036	0.05143945299574514	0.0	0.026273739952748218	0.430981852564748	1.0	0.3485479749298986
80000	-289.5155035313024	-120.48601569255872	-169.02948783874368	-120.48601569255872	50.80631341197188	0.09965901608580055	0.01843901605811183	0.03086165424148849	0.10125801803915838	0.017943187031858404	0.19242633512771765	0.04986160798781972	0.2378986247942086	0.06102622755185294	0.04404687081274654	0.06611994539609242	0.029020043877399225	0.05143945299574514	0.0	0.01990080149281292	0.5840933462809744	1.0	0.5500665209597401
90000	-332.41527475417774	-114.83680939989675	-217.57846535428098	-114.83680939989675	38.09517238363853	0.09965901608580055	0.04608602845903839	0.03086165424148849	0.10125801803915838	0.017943187031858404	0.0044567046840754965	0.04986160798781972	0.42586825523785077	0.06102622755185294	0.04404687081274654	0.038472932995165854	0.029020043877399225	0.05143945299574514	0.0	0.02186952454052673	0.34753643103668463	1.0	0.29495564506423533
