node,tissue
ASV069,LVR
ASV069,LVR
ASV069,LVM
ASV069,LVM
ASV070,LVR
ASV070,LVR
ASV070,LVR
ASV070,LVM
ASV070,LVM
ASV070,LVM
ASV070,PRL
ASV070,PRL
ASV070,PRL
ASV071,LVM
ASV071,PRL
ASV071,LVR
ASV071,RBL
ASV072,LVR
ASV072,LVM
ASV072,PRL
ASV073,LVM
ASV073,LVR
ASV073,PRL
ASV074,PRL
ASV074,LVM
ASV075,LVM
ASV075,LVM
ASV075,PRL
ASV075,PRL
ASV076,PRL
ASV076,LVM
ASV076,LVR
ASV077,LVR
ASV077,LVR
ASV077,LVM
ASV077,LVM
ASV077,PRL
ASV077,PRL
ASV078,PRL
ASV078,PRL
ASV078,LVM
ASV078,LVM
ASV078,LVR
ASV078,LVR
ASV078,RBL
ASV078,RBL
ASV079,PRL
ASV079,LVM
ASV079,RBL
ASV079,LVR
ASV080,LVM
ASV080,RBL
ASV080,LVR
ASV081,PRL
ASV081,PRL
ASV081,LVM
ASV081,LVM
ASV081,LVR
ASV081,LVR
ASV081,RBL
ASV081,RBL
ASV082,LVR
ASV082,LVR
ASV082,RBL
ASV082,RBL
ASV083,LVM
ASV083,LVR
ASV083,RBL
ASV083,PRL
ASV084,RBL
ASV084,LVR
ASV084,PRL
ASV085,LVR
ASV085,PRL
ASV086,LVM
ASV086,PRL
ASV086,LVR
ASV087,PRL
ASV087,PRL
ASV087,LVR
ASV087,LVR
ASV087,LVM
ASV087,LVM
ASV088,LVM
ASV088,RBL
ASV089,LVR
ASV089,LVR
ASV089,RBL
ASV089,RBL
ASV090,LVM
ASV090,LVM
ASV090,LVR
ASV090,LVR
ASV090,RBL
ASV090,RBL
ASV091,LVM
ASV091,LVM
ASV091,LVM
ASV091,RBL
ASV091,RBL
ASV091,RBL
ASV091,LVR
ASV091,LVR
ASV091,LVR
ASV092,PRL
ASV092,LVR
ASV092,LVM
ASV093,RBL
ASV093,PRL
ASV093,LVR
ASV093,LVM
ASV094,LVR
ASV094,RBL
ASV094,LVM
ASV095,RBL
ASV095,RBL
ASV095,LVM
ASV095,LVM
ASV096,LVR
ASV096,RBL
ASV097,RBL
ASV097,LVR
ASV097,LVM
ASV098,PRL
ASV098,LVR
ASV099,RBL
ASV100,LVR
ASV100,LVR
ASV101,LVM
ASV101,LVM
ASV101,LVR
ASV101,LVR
ASV102,LVM
ASV102,LVM
ASV102,LVM
ASV102,RBL
ASV102,RBL
ASV102,RBL
ASV102,LVR
ASV102,LVR
ASV102,LVR
ASV103,PRL
ASV103,PRL
ASV103,LVM
ASV103,LVM
ASV104,RBL
ASV104,RBL
ASV104,RBL
ASV105,RBL
ASV105,RBL
ASV105,LVM
ASV105,LVM
ASV105,LVR
ASV105,LVR
ASV106,RBL
ASV106,RBL
ASV106,LVM
ASV106,LVM
ASV106,LVR
ASV106,LVR
ASV107,LVR
ASV107,RBL
ASV107,LVM
ASV108,RBL
ASV108,RBL
ASV108,PRL
ASV108,PRL
ASV108,LVR
ASV108,LVR
ASV108,LVM
ASV108,LVM
ASV109,LVM
ASV109,LVM
ASV109,RBL
ASV109,RBL
ASV109,LVR
ASV109,LVR
ASV110,LVR
ASV110,LVR
ASV110,PRL
ASV110,PRL
ASV111,PRL
ASV111,LVM
ASV111,LVR
ASV112,RBL
ASV112,RBL
ASV112,LVR
ASV112,LVR
ASV112,LVM
ASV112,LVM
ASV113,PRL
ASV113,LVM
