Sample	posterior	likelihood	prior	treeHeight	editRate.1	editRate.2	editRate.3	editRate.4	editRate.5	editRate.6	editRate.7	editRate.8	editRate.9	editRate.10	editRate.11	editRate.12	editRate.13	editRate.14	editRate.15	editRate.16	editRate.17	editRate.18	editRate.19	editRate.20	editRate.21	editRate.22	editRate.23	editRate.24	editRate.25	editRate.26	editRate.27	editRate.28	editRate.29	editRate.30	editRate.31	editRate.32	editRate.33	editRate.34	editRate.35	editRate.36	editRate.37	silencingRate	clockRate.c	relativeGeoRates.1	relativeGeoRates.2	relativeGeoRates.3	relativeGeoRates.4	relativeGeoRates.5	relativeGeoRates.6	relativeGeoRates.7	relativeGeoRates.8	relativeGeoRates.9	relativeGeoRates.10	traitClockRate	geoSubstModelLogger.relGeoRate_PRL_FML	geoSubstModelLogger.relGeoRate_PRL_LNSL	geoSubstModelLogger.relGeoRate_PRL_UNL	geoSubstModelLogger.relGeoRate_FML_PRL	geoSubstModelLogger.relGeoRate_FML_LNSL	geoSubstModelLogger.relGeoRate_FML_UNL	geoSubstModelLogger.relGeoRate_LNSL_PRL	geoSubstModelLogger.relGeoRate_LNSL_FML	geoSubstModelLogger.relGeoRate_LNSL_UNL	geoSubstModelLogger.relGeoRate_UNL_PRL	geoSubstModelLogger.relGeoRate_UNL_FML	geoSubstModelLogger.relGeoRate_UNL_LNSL	treeLikelihood	traitLikelihood	
0	-773.0567475952403	-474.78673299917364	-298.2700145960667	8.512309345810523	0.03529288925441741	0.023189634193246267	0.019362997094809653	0.050568146579530404	0.010105406357758126	0.031169002363542544	0.008727795415742062	0.00905343112550866	0.06117752624559379	0.01150372665552954	0.03184220530936807	0.040992672942656724	0.027645076627888843	0.011430495221294676	0.010189951415587067	0.01555524525748228	0.0082006918806352	0.02986561614475268	0.051533846863500474	0.010703397692604505	0.01927040446985072	0.022674283124338168	0.007657818149276005	0.01744779251935058	0.0714890650430462	0.08807523714029585	0.01688284246889893	0.015341971061450951	0.022653912157954426	0.014804411621810343	0.010796965213035511	0.03799360007500084	0.0064766654538210705	0.019428871400670275	0.01971256161862643	0.0424233968116937	0.06876044642943101	4.2638803283874775E-5	0.007985423613207827	1.3332097256614437	2.878483911161857	0.3329226794245957	2.483303851393342	0.9872851109791689	0.2307705461099485	0.6841896156170818	1.0239077094172575	0.4925375568328371	1.3657256037354397	2.355805856675775	2.878483911161857	2.878483911161857	2.878483911161857	1.3332097256614437	2.878483911161857	2.878483911161857	1.3332097256614437	2.878483911161857	2.878483911161857	1.3332097256614437	2.878483911161857	2.878483911161857	-387.99065356806926	-86.79607943110437	
1	-774.2981618083531	-474.6099023171695	-299.6882594911837	7.965370453592519	0.03529288925441741	0.023189634193246267	0.019362997094809653	0.050568146579530404	0.010105406357758126	0.028647331878692908	0.008727795415742062	0.00905343112550866	0.06117752624559379	0.01150372665552954	0.03184220530936807	0.040992672942656724	0.018524962124359168	0.02055060972482435	0.010189951415587067	0.01555524525748228	0.0082006918806352	0.02986561614475268	0.015824973039728282	0.010703397692604505	0.03223242659750257	0.022674283124338168	0.007657818149276005	0.01744779251935058	0.0714890650430462	0.07191768246136453	0.01688284246889893	0.015341971061450951	0.025478907694199582	0.014804411621810343	0.0416634577314091	0.03799360007500084	0.0064766654538210705	0.019428871400670275	0.01971256161862643	0.011556904293320111	0.10736152775308715	1.3219715376673054E-4	0.009775623425132801	1.4872165092985175	2.186247092143917	0.46875722787126217	1.8338535475864304	1.0835423611457498	0.2578088902105002	0.9140417001766726	0.5336105729483881	0.5190305304627707	1.5971046464847407	1.738061043640062	2.186247092143917	2.186247092143917	2.186247092143917	1.4872165092985175	2.186247092143917	2.186247092143917	1.4872165092985175	2.186247092143917	2.186247092143917	1.4872165092985175	2.186247092143917	2.186247092143917	-387.28486107458195	-87.3250412425875	
2	-766.6865853436791	-464.33155302467935	-302.3550323189997	12.839253988845577	0.027972078642303985	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.010105406357758126	0.013971653935709274	0.01569840444404677	0.025015808853291632	0.035309248629421516	0.04762096150254877	0.04289008953511683	0.023660859094417938	0.07147709910895417	0.02055060972482435	0.0015980678382938318	0.042566307174410206	0.07837596796028377	0.0761101889349911	0.015824973039728282	0.04314939555763883	0.008562639881256592	0.03337278100951502	0.04219217699435539	0.016166713197817262	0.034179298533016156	0.043670935755169435	0.013143959578321152	0.0428070020100456	0.011243908459776297	0.0024246978144555342	0.006708525891088488	0.00859067397651457	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.01684571927911936	0.02781098656250912	1.669910598483097E-4	0.0069814462910839205	1.7741658606334307	2.4839615697114468	1.4123551072604823	0.6113093062764654	1.4360477657321888	0.1704260192563298	0.3834450928784131	2.269407766356994	0.3253533542586005	2.6544466673235654	5.0030928413888445	2.4839615697114468	2.4839615697114468	2.4839615697114468	1.7741658606334307	2.4839615697114468	2.4839615697114468	1.7741658606334307	2.4839615697114468	2.4839615697114468	1.7741658606334307	2.4839615697114468	2.4839615697114468	-375.99638626021294	-88.33516676446642	
3	-766.6865853436791	-464.33155302467935	-302.3550323189997	12.839253988845577	0.027972078642303985	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.010105406357758126	0.013971653935709274	0.01569840444404677	0.025015808853291632	0.035309248629421516	0.04762096150254877	0.04289008953511683	0.023660859094417938	0.07147709910895417	0.02055060972482435	0.0015980678382938318	0.042566307174410206	0.07837596796028377	0.0761101889349911	0.015824973039728282	0.04314939555763883	0.008562639881256592	0.03337278100951502	0.04219217699435539	0.016166713197817262	0.034179298533016156	0.043670935755169435	0.013143959578321152	0.0428070020100456	0.011243908459776297	0.0024246978144555342	0.006708525891088488	0.00859067397651457	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.01684571927911936	0.02781098656250912	1.669910598483097E-4	0.0069814462910839205	1.7741658606334307	2.4839615697114468	1.4123551072604823	0.6113093062764654	1.4360477657321888	0.1704260192563298	0.3834450928784131	2.269407766356994	0.3253533542586005	2.6544466673235654	5.0030928413888445	2.4839615697114468	2.4839615697114468	2.4839615697114468	1.7741658606334307	2.4839615697114468	2.4839615697114468	1.7741658606334307	2.4839615697114468	2.4839615697114468	1.7741658606334307	2.4839615697114468	2.4839615697114468	-375.99638626021294	-88.33516676446642	
4	-766.6865853436791	-464.33155302467935	-302.3550323189997	12.839253988845577	0.027972078642303985	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.010105406357758126	0.013971653935709274	0.01569840444404677	0.025015808853291632	0.035309248629421516	0.04762096150254877	0.04289008953511683	0.023660859094417938	0.07147709910895417	0.02055060972482435	0.0015980678382938318	0.042566307174410206	0.07837596796028377	0.0761101889349911	0.015824973039728282	0.04314939555763883	0.008562639881256592	0.03337278100951502	0.04219217699435539	0.016166713197817262	0.034179298533016156	0.043670935755169435	0.013143959578321152	0.0428070020100456	0.011243908459776297	0.0024246978144555342	0.006708525891088488	0.00859067397651457	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.01684571927911936	0.02781098656250912	1.669910598483097E-4	0.0069814462910839205	1.7741658606334307	2.4839615697114468	1.4123551072604823	0.6113093062764654	1.4360477657321888	0.1704260192563298	0.3834450928784131	2.269407766356994	0.3253533542586005	2.6544466673235654	5.0030928413888445	2.4839615697114468	2.4839615697114468	2.4839615697114468	1.7741658606334307	2.4839615697114468	2.4839615697114468	1.7741658606334307	2.4839615697114468	2.4839615697114468	1.7741658606334307	2.4839615697114468	2.4839615697114468	-375.99638626021294	-88.33516676446642	
5	-771.0549736384476	-463.36745158047563	-307.687522057972	9.379752685469562	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.010105406357758126	0.013971653935709274	0.01569840444404677	0.025015808853291632	0.035309248629421516	0.04762096150254877	0.04289008953511683	0.023660859094417938	0.07147709910895417	0.03981304589285527	0.0015980678382938318	0.022184697390127045	0.07837596796028377	0.04036523759076459	0.015824973039728282	0.04314939555763883	0.008562639881256592	0.03337278100951502	0.04219217699435539	0.016166713197817262	0.01491686236498524	0.043670935755169435	0.03352556936260431	0.0428070020100456	0.011243908459776297	0.0024246978144555342	0.006708525891088488	0.00859067397651457	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.01684571927911936	0.02781098656250912	8.17986703179376E-5	0.006029030289648811	1.554003997934576	2.9038064156644126	1.9849958965476073	0.5767384934791779	0.9054949257419402	0.20669224266696934	0.5621388307220994	1.8296064985726093	0.37244914426449105	2.973422268433693	3.1866729329660672	2.9038064156644126	2.9038064156644126	2.9038064156644126	1.554003997934576	2.9038064156644126	2.9038064156644126	1.554003997934576	2.9038064156644126	2.9038064156644126	1.554003997934576	2.9038064156644126	2.9038064156644126	-376.7511505846112	-86.61630099586442	
6	-771.0549736384476	-463.36745158047563	-307.687522057972	9.379752685469562	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.010105406357758126	0.013971653935709274	0.01569840444404677	0.025015808853291632	0.035309248629421516	0.04762096150254877	0.04289008953511683	0.023660859094417938	0.07147709910895417	0.03981304589285527	0.0015980678382938318	0.022184697390127045	0.07837596796028377	0.04036523759076459	0.015824973039728282	0.04314939555763883	0.008562639881256592	0.03337278100951502	0.04219217699435539	0.016166713197817262	0.01491686236498524	0.043670935755169435	0.03352556936260431	0.0428070020100456	0.011243908459776297	0.0024246978144555342	0.006708525891088488	0.00859067397651457	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.01684571927911936	0.02781098656250912	8.17986703179376E-5	0.006029030289648811	1.554003997934576	2.9038064156644126	1.9849958965476073	0.5767384934791779	0.9054949257419402	0.20669224266696934	0.5621388307220994	1.8296064985726093	0.37244914426449105	2.973422268433693	3.1866729329660672	2.9038064156644126	2.9038064156644126	2.9038064156644126	1.554003997934576	2.9038064156644126	2.9038064156644126	1.554003997934576	2.9038064156644126	2.9038064156644126	1.554003997934576	2.9038064156644126	2.9038064156644126	-376.7511505846112	-86.61630099586442	
7	-771.0549736384476	-463.36745158047563	-307.687522057972	9.379752685469562	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.010105406357758126	0.013971653935709274	0.01569840444404677	0.025015808853291632	0.035309248629421516	0.04762096150254877	0.04289008953511683	0.023660859094417938	0.07147709910895417	0.03981304589285527	0.0015980678382938318	0.022184697390127045	0.07837596796028377	0.04036523759076459	0.015824973039728282	0.04314939555763883	0.008562639881256592	0.03337278100951502	0.04219217699435539	0.016166713197817262	0.01491686236498524	0.043670935755169435	0.03352556936260431	0.0428070020100456	0.011243908459776297	0.0024246978144555342	0.006708525891088488	0.00859067397651457	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.01684571927911936	0.02781098656250912	8.17986703179376E-5	0.006029030289648811	1.554003997934576	2.9038064156644126	1.9849958965476073	0.5767384934791779	0.9054949257419402	0.20669224266696934	0.5621388307220994	1.8296064985726093	0.37244914426449105	2.973422268433693	3.1866729329660672	2.9038064156644126	2.9038064156644126	2.9038064156644126	1.554003997934576	2.9038064156644126	2.9038064156644126	1.554003997934576	2.9038064156644126	2.9038064156644126	1.554003997934576	2.9038064156644126	2.9038064156644126	-376.7511505846112	-86.61630099586442	
8	-771.0549736384476	-463.36745158047563	-307.687522057972	9.379752685469562	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.010105406357758126	0.013971653935709274	0.01569840444404677	0.025015808853291632	0.035309248629421516	0.04762096150254877	0.04289008953511683	0.023660859094417938	0.07147709910895417	0.03981304589285527	0.0015980678382938318	0.022184697390127045	0.07837596796028377	0.04036523759076459	0.015824973039728282	0.04314939555763883	0.008562639881256592	0.03337278100951502	0.04219217699435539	0.016166713197817262	0.01491686236498524	0.043670935755169435	0.03352556936260431	0.0428070020100456	0.011243908459776297	0.0024246978144555342	0.006708525891088488	0.00859067397651457	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.01684571927911936	0.02781098656250912	8.17986703179376E-5	0.006029030289648811	1.554003997934576	2.9038064156644126	1.9849958965476073	0.5767384934791779	0.9054949257419402	0.20669224266696934	0.5621388307220994	1.8296064985726093	0.37244914426449105	2.973422268433693	3.1866729329660672	2.9038064156644126	2.9038064156644126	2.9038064156644126	1.554003997934576	2.9038064156644126	2.9038064156644126	1.554003997934576	2.9038064156644126	2.9038064156644126	1.554003997934576	2.9038064156644126	2.9038064156644126	-376.7511505846112	-86.61630099586442	
9	-782.3273752375932	-460.89135416403315	-321.43602107356	8.40605540460863	0.06371702998653049	0.016827930400243885	0.01750798495445699	0.024360262013718048	0.047974869752248614	0.00573362730857814	0.01569840444404677	0.025015808853291632	0.00872987808674451	0.04762096150254877	0.011448073618935378	0.023660859094417938	0.0673399289946165	0.03981304589285527	0.0015980678382938318	0.022184697390127045	0.022675879855342904	0.028057855555321018	0.015824973039728282	0.06355869299296277	0.008562639881256592	0.03337278100951502	0.04219217699435539	0.004013369040507864	0.08270568317505478	0.043670935755169435	0.012165269570075798	0.0428070020100456	0.011243908459776297	0.0024246978144555342	0.006708525891088488	0.016828700603645705	0.018118120941908997	0.010535624925765416	0.013032936887207289	0.027987824543666093	0.05428097032149691	2.2491637106475783E-4	0.0072250981969785915	1.9006125470410629	3.7716717220840814	1.5545187397945166	1.19127088053083	1.0095844914641166	0.22754000230631516	0.5558172375713436	1.2005282612933696	0.7021391635477624	3.6413514365652153	2.5319247353271743	3.7716717220840814	3.7716717220840814	3.7716717220840814	1.9006125470410629	3.7716717220840814	3.7716717220840814	1.9006125470410629	3.7716717220840814	3.7716717220840814	1.9006125470410629	3.7716717220840814	3.7716717220840814	-373.92302167269685	-86.96833249133631	
